"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"8976",1.53414135706618,0.812544967357811,0.172829057467363,0.211077849091758,0.863057345114915,0.574127928572407,0,0,0.413959262537162,0.599644764371095,0.669917263779859,0,0.14165808367257,0.0193836149740511
"8977",1.22308800031102,0.744089067844997,0,0.48047481024319,0.122641494051027,0.642040211121355,0,0,0.224389752041668,0.496300336943156,0.668199618759294,0,0,0
"8978",0.985669162525638,0.508639960219143,0.0268511074109561,0.425635719703936,0.0960297556291951,0.492478801985629,0.711441857847255,0.297735712472059,0.302478739628606,0.634186988543756,0.689534246219757,1.10628310607724,0.570791701027443,0.315765875455591
"8979",0.800322190570092,0.453697761408207,0.256590845810211,0.163095257033897,0.200640955164843,0.586860320544589,1.0658700436068,0.344683979479496,0.320392281665566,0.577360003616528,0.298868944456117,1.84777216750601,0.797400780701397,0.633528802929409
"8980",0.679795834111637,0.382408822098836,0.533434571407772,0.147443471606128,0.226540226087177,0.693994724596651,1.01165287208094,0.241553290238419,0.141649802727346,0.476000703422868,0.0602789169064677,2.25032246005072,0.978583169093478,0.767331252463827
"8981",0.572513169335615,0.343598193342317,0.742732720695716,0.0849392475953425,0.129735663361251,0.710208953274942,0.741941732730247,0.155936073345871,0.113804779590437,0.389670190990146,0,2.43014703226909,0.962244832711364,0.621758131366635
"8982",0.472105295171837,0.257929216927475,0.957323795468275,0.0795368671330425,0.0352284914368245,0.575258767477033,0.662332646251652,0.279752971976269,0.147147335793741,0.352896899240225,0.128510855720229,2.41265475723295,0.906792700913292,0.781454595453268
"8983",0.364401014861644,0.207696117139937,1.12965041107681,0.00811307865628249,0.00683211877347649,0.511799580516076,0.651124063528616,0.374512227632289,0.246349298922303,0.265814276783928,0.140855255442453,2.56058912521176,0.874113262605006,0.791449620366794
"8984",0.338364196697087,0.14552683313111,1.36017062756557,0,0,0.334443768088604,0.705449234607075,0.490334895542713,0.116548903731237,0.226599011459751,0.219524878104907,2.51568769735699,0.54898235871624,0.803417630635468
"8985",0.154222024638464,0.112367960843488,1.51900524524919,0.108653125149437,0.0136354321521331,0.244150843047321,0.648699362870989,0.540931769603981,0,0.198128946686044,0.128783298586124,2.67668573954445,0.511114684647556,0.825666836258467
"8986",0.114520491695137,0.0484799593576763,1.68517376252147,0.0902699273524505,0.0647354847799388,0.179051719373431,0.597908255598435,0.491275906613415,0.014588077430105,0.106608252429392,0.113653792552603,2.92486108776445,0.596877650943778,0.706960494178362
"8987",0.0673655616960727,0.0391193772394369,1.7899508669185,0.128348254902163,0.0816562090970801,0.10664750802052,0.591621353084761,0.562681691217533,0.00942804825365187,0.0647033145475833,0.11340355486215,3.05606809614934,0.622960666716338,0.812544967357811
