Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
SYV,191,100,0.42,0,0.032731,0.0069798,0.0074808,0,0.013212,0,0,0.0011947,0,0,0,0.0061645,0.0063132,0,NaN,0,0,0.02638,0.0024969,0.022271
SYV,191,130,0.4,0,0.030116,0.006644,0.0072526,0.00019549,0.015283,6.93E-05,0,0.00027408,0,0,0,0.0084553,0.0051208,0,NaN,0,0,0.023852,0.0028182,0.018197
SYV,191,200,0.35,0,0.026775,0.0060158,0.011555,0.00022341,0.013127,0.0016117,0,0.00021251,7.18E-05,0,0,0.0086431,0.0043926,0,NaN,0,0,0.021192,0.0035122,0.016308
SYV,191,230,0.3,0,0.018835,0.0064121,0.010892,0,0.012626,0.0025425,0,0,0.00064955,0,0,0.0085967,0.0052816,0,NaN,0,0,0.018112,0.0045802,0.012672
SYV,191,300,0.29,0,0.018944,0.0084232,0.013047,0,0.011028,0.0022425,0,0,0.0004532,0,0,0.0085502,0.0038608,9.92E-05,NaN,0,0,0.015483,0.0052761,0.011191
SYV,191,330,0.27,0,0.019295,0.0074992,0.015649,0,0.011991,0.0031743,0,0,0.00010214,0,0,0.0082695,0.0026739,0,NaN,0,0,0.011154,0.0067221,0.0095206
SYV,191,400,0.26,10.12,0.010274,0.0084846,0.015635,0,0.0058575,0.0018892,0,0,0,0,0,0.0065863,0.0010309,0,NaN,0,0,0.0072861,0.0068578,0.0055507
SYV,191,430,0.25,58.58,0.011333,0.0080009,0.016715,0,0.0089876,0.0022046,0,0,0,0,0,0.0084108,0.00030837,0,NaN,0,0,0.0045737,0.0084957,0.0046649
SYV,191,500,0.28,165.87,0.0097712,0.0089874,0.018017,0,0.0072211,0.0031361,0,0,0,0,0,0.0076619,0,0,NaN,0,0,0.0020164,0.0097614,0.003208
SYV,191,530,0.32,281.34,0.012263,0.0087974,0.018003,0,0.013835,0.0032056,0,0,0.00040066,0,0.0011053,0.0085522,0,0,NaN,0,0,0,0.011219,0.0023267
SYV,191,600,0.4,435.39,0.010459,0.0093434,0.019529,0,0.012234,0.004633,0,0,0.00066898,0,0.0017927,0.0064007,0,0,NaN,0,0,0,0.011544,0.001447
SYV,191,630,0.48,630.89,0.010326,0.01048,0.019295,0.00047475,0.014116,0.0026053,0,0,0,0,0,0.0093975,0,0,NaN,0.0015342,0,0.039026,0.012438,0
SYV,191,700,0.56,823.2,0.019087,0.013845,0.022372,0.013064,0.032679,0.0056383,0.0091765,0,0,0,0,0.012885,0.0012793,0.0033551,NaN,0.0034823,0.00073673,0.12779,0.012764,0.0059882
SYV,191,730,0.66,1005.4,0.045571,0.020083,0.028819,0.04118,0.080967,0.013195,0.051583,0,0.0024071,0,0,0.020701,0.0037749,0.024294,NaN,0.0085895,0.023871,0.21516,0.015942,0.025827
