"","FETCH_MAX","FETCH_90","ZL","RH_1_1_1","PPFD_IN_1_1_1"
"202",107.9517,295.6963,0.03137623,73.10111,0.000922908
"203",115.4263,316.1704,0.01426894,73.70777,0.001845847
"204",113.2396,310.1808,0.01982864,74.06888,-1.43e-08
"205",99.38685,272.236,0.03111589,74.12332,-0.000922965
"206",108.7396,297.8546,0.02678446,74.20999,0.000922983
"207",113.7152,311.4836,0.03440184,74.26223,0.7134948
"208",102.4631,280.6624,0.07054061,74.13889,18.10618
"209",116.5299,319.1935,0.02431992,74.11,93.96349
"210",110.6721,303.1481,0.01482068,74.17332,205.0122
"211",105.5675,289.1659,-0.01620413,74.12444,320.6624
"212",108.9157,298.337,-0.02480157,73.60666,427.9542
"213",117.5478,321.9816,-0.04898051,72.27666,522.938
"214",102.3886,280.4583,-0.06153149,69.85445,600.9277
"215",114.225,312.8799,-0.09696629,68.55223,652.5027
"216",105.4871,288.9454,-0.1016779,66.06334,683.0242
"217",101.0978,276.9224,-0.06196062,64.72667,688.4565
"218",96.11717,263.2798,-0.1061659,63.63888,673.7592
"219",104.9434,287.4562,-0.04833205,62.84111,621.3926
"220",111.2045,304.6065,-0.02537483,62.61333,557.3924
"221",118.0599,323.3843,-0.03291749,61.76777,441.6443
"222",119.4256,327.1253,-0.01624425,61.80667,292.6996
"223",107.9699,295.7463,-0.007969729,62.01443,171.0447
"224",106.0946,290.6096,0.01281183,64.59334,57.14408
"225",100.0631,274.0884,0.07073089,66.45223,19.14894
"226",98.27572,269.1924,0.0628692,66.97222,1.509431
"227",110.6997,303.2235,0.05619128,67.32668,0.003688465
"228",92.86968,254.3844,0.07936051,68.11666,-0.003688716
"229",101.676,278.5062,0.05811254,68.65334,0.001844398
"230",106.3063,291.1894,0.03691541,68.9,-0.00184445
"231",108.3287,296.729,0.04007037,69.67556,-0.002766691
"232",108.581,297.4202,0.03262311,70.25778,-0.002766728
"233",108.9844,298.5251,0.02941531,70.84779,0.003689049
"234",106.46,291.6105,0.01592023,70.77112,-1.37e-09
"235",110.178,301.7946,0.01241812,70.86221,0.0009223
"236",110.6774,303.1625,0.01472989,71.21666,0.00184461
"237",113.1025,309.8052,0.01059784,71.3689,0.000922323
"238",110.6726,303.1494,0.009127739,71.34222,2.3e-09
"239",116.3649,318.7415,0.01122778,71.60777,0.000922321
"240",112.824,309.0424,0.02120737,72.06667,-0.0009223
"241",105.6597,289.4183,0.03342561,72.84667,5.28e-09
"242",115.928,317.5447,0.04898855,73.2989,-8.38e-09
"243",106.8676,292.7269,0.06681522,73.22446,-0.000922347
"244",111.4631,305.3147,0.06403709,73.74222,0
"245",114.1774,312.7495,0.03747779,74.02666,0
"246",102.5919,281.0151,0.05474364,74.23222,0
"247",104.4997,286.2408,0.06875516,74.33,-0.000922387
"248",109.04,298.6776,0.07097749,74.80667,-0.00092239
"249",111.8055,306.2527,0.06454115,74.83778,0
"250",107.3259,293.9822,0.05464436,75.26556,-0.000922409
"251",107.092,293.3416,0.05710721,75.85111,0
"252",112.8358,309.0746,0.04079644,76.13333,-0.00184484
"253",107.1226,293.4253,0.05555759,76.53444,-0.000922424
"254",110.9629,303.9446,0.05619307,76.28333,0.000922451
"255",111.9868,306.7492,0.06321432,75.69888,0.685375
"256",105.7394,289.6365,0.06662273,75.66777,17.42491
"257",110.0731,301.5072,0.04213946,74.98889,88.55651
"258",109.627,300.2854,0.007901262,73.90111,195.6704
"259",110.1118,301.6133,-0.02293299,71.66889,289.8156
"260",114.6296,313.9882,-0.02417961,69.26778,280.9479
"261",108.9056,298.3093,-0.01509314,69.70667,383.0893
"262",110.3459,302.2546,-0.03780092,70.30666,498.1637
"263",100.9037,276.3908,-0.01490751,70.08889,515.3082
"264",127.4034,348.9776,-0.02207911,70.31888,426.8748
"265",111.5395,305.524,-0.02644182,70.59334,376.0057
"266",120.7621,330.7861,-0.01895428,71.00777,297.6936
"267",118.5718,324.7866,-0.02378121,70.52,336.3402
"268",119.9234,328.4888,-0.01581353,70.66666,307.9462
"269",110.3557,302.2814,-0.0123655,69.77,268.2143
"270",110.5875,302.9162,-0.01327599,69.92001,225.7428
"271",105.1324,287.9738,-0.00336905,70.06667,140.6849
"272",119.5239,327.3945,0.008829375,70.72224,64.81911
"273",102.3219,280.2756,0.02085407,71.81445,21.36288
"274",107.5822,294.6843,0.00927602,73.56889,1.450911
"275",114.9176,314.7772,0.005513402,74.63778,0.000921824
"276",102.9458,281.9846,0.004152801,76.65333,-3.35e-09
"277",109.9074,301.0533,0.005757207,78.48,-0.005530961
"278",111.1877,304.5602,0.00733647,78.81668,-0.002765479
"279",103.5081,283.5247,0.008341427,75.64779,0.000921832
"280",105.5395,289.0891,-0.001940518,74.80777,-0.00368727
"281",102.8134,281.6218,0.002538866,76.35445,-0.000921835
"282",109.8896,301.0047,0.001969379,77.6,-0.004609167
"283",107.2472,293.7668,-8.15e-05,76.77665,-0.001843679
"284",114.1707,312.7312,-0.000350115,75.96889,-0.00184371
"285",113.0766,309.7342,0.001796222,77.27776,-0.00276564
"286",113.3034,310.3557,-0.000150641,74.69112,0.001843789
"287",107.2142,293.6763,0.00162051,73.91667,-0.005531548
"288",105.4607,288.8733,-0.003519253,75.53665,0.000921954
"289",111.1707,304.5137,0.005107413,69.72667,0.000921954
"290",86.38608,236.6249,0.001156729,74.15222,-0.00276604
"291",104.0969,285.1377,-0.000429486,74.58223,-0.004610193
"292",112.2245,307.4003,-0.00040278,70.18999,-0.002766181
"293",97.23854,266.3514,0.01237812,70.36555,-0.001844194
"294",105.1295,287.9661,0.007836867,72.04667,0.008299116
"295",125.4594,343.6528,0.00143768,73.09222,0.000922134
"296",104.9356,287.435,0.003681219,72.52554,5.4e-09
"297",114.4467,313.4873,0.001351997,72.32445,-0.002766484
"298",-9999,-9999,-9999,71.42333,-0.005533018
"299",-9999,-9999,-9999,-9999,-9999
"300",-9999,-9999,-9999,-9999,-9999
"301",-9999,-9999,-9999,-9999,-9999
"302",-9999,-9999,-9999,-9999,-9999
"303",-9999,-9999,-9999,-9999,-9999
"304",-9999,-9999,-9999,-9999,-9999
"305",-9999,-9999,-9999,-9999,-9999
"306",-9999,-9999,-9999,-9999,-9999
"307",-9999,-9999,-9999,-9999,-9999
"308",-9999,-9999,-9999,-9999,-9999
"309",-9999,-9999,-9999,-9999,-9999
"310",-9999,-9999,-9999,-9999,-9999
"311",-9999,-9999,-9999,-9999,-9999
"312",-9999,-9999,-9999,-9999,-9999
"313",-9999,-9999,-9999,-9999,-9999
"314",-9999,-9999,-9999,-9999,-9999
"315",-9999,-9999,-9999,-9999,-9999
"316",-9999,-9999,-9999,-9999,-9999
"317",-9999,-9999,-9999,-9999,-9999
"318",-9999,-9999,-9999,-9999,-9999
"319",-9999,-9999,-9999,-9999,-9999
"320",-9999,-9999,-9999,-9999,-9999
"321",-9999,-9999,-9999,-9999,-9999
"322",-9999,-9999,-9999,-9999,-9999
"323",-9999,-9999,-9999,-9999,-9999
"324",-9999,-9999,-9999,-9999,-9999
"325",-9999,-9999,-9999,-9999,-9999
"326",-9999,-9999,-9999,-9999,-9999
"327",-9999,-9999,-9999,-9999,-9999
"328",-9999,-9999,-9999,-9999,-9999
"329",-9999,-9999,-9999,-9999,-9999
"330",-9999,-9999,-9999,-9999,-9999
"331",-9999,-9999,-9999,-9999,-9999
"332",-9999,-9999,-9999,-9999,-9999
"333",-9999,-9999,-9999,-9999,-9999
"334",-9999,-9999,-9999,-9999,-9999
"335",-9999,-9999,-9999,-9999,-9999
"336",-9999,-9999,-9999,-9999,-9999
