Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
1,2,200,0,0,0.021007,0.0009097,0,0.0070695,0.006322,0.0010222,0.0028095,0.0014779,0.0012432,0.0029154,0,0.00065601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,230,0,0,0.021784,0.0011742,0.0011856,0.0087454,0.0042815,0.0017317,0.002628,0.002217,0.001725,0.0022736,0.00026587,0.0039467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,300,0,0,0.016341,0.0015419,0.0026376,0.010307,0.0038075,0.0021304,0.0025317,0.0029512,0.0018502,0.0020913,0.0007535,0.004272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,330,0,0,0.017414,0.0015816,0.0013914,0.0059009,0.0034652,0.0013089,0.0026179,0.0024528,0.0019756,0.001561,0,0.0034105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,400,0,0,0.0098703,0.0022735,0.0040554,0.010152,0.0023365,0.0020072,0.0018791,0.0034467,0.0023295,0.00090981,0.0013778,0.0046213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,430,0,0,0.0043938,0.0025275,0.0059169,0.011825,0.0004333,0.0024015,0.0010512,0.0042663,0.0028014,0.00049184,0.0022404,0.0056861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,500,0,0,0.0039236,0.0026703,0.0065571,0.011008,0,0.0018783,0,0.0042899,0.0026862,7.27E-05,0.0023755,0.0060059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,530,0,0,0,0.0025926,0.0062444,0.0085009,0,0.001736,0,0.0044011,0.0028044,0,0.0024061,0.0058784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,600,0,0,0.0035524,0.0021867,0.0051187,0,0.0020484,0.00037667,0.00038153,0.003542,0.0025722,0.00041158,0.0025411,0.0053051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,630,0,0,0.0048523,0.0023217,0.0058855,0.0025448,0.0011055,0,0,0.0040874,0.001982,0.00058409,0.003395,0.0060633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,700,0,0,0,0.0030214,0.0078946,0.0080263,0.0039475,0.0013475,0,0.004738,0.0021096,0.00054131,0.0043706,0.0071371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
