ID,SPP,DBH,CC,BA,SWA,SWD,Multiplier
32,osvi,5.3,S,22.06,9.849306311,0.6785062,1
700,osvi,5.3,S,22.06,9.849306311,0.6785062,1
759,osvi,5.2,S,21.24,9.468507235,0.664286776,1
NA,osvi,5.2,S,21.24,9.468507235,0.664286776,1
NA,osvi,5.2,S,21.24,9.468507235,0.664286776,1
795,osvi,5.1,S,20.43,9.095463985,0.65055326,1
799,osvi,5.1,S,20.43,9.095463985,0.65055326,1
3,osvi,5.1,S,20.43,9.095463985,0.65055326,1
82,osvi,5.1,S,20.43,9.095463985,0.65055326,1
776,osvi,5.1,S,20.43,9.095463985,0.65055326,1
725,osvi,5.1,S,20.43,9.095463985,0.65055326,1
2910,osvi,5.1,S,20.43,9.095463985,0.65055326,1
2909,osvi,5.1,S,20.43,9.095463985,0.65055326,1
757,osvi,5,S,19.63,8.730166026,0.637333137,1
NA,osvi,5,S,19.63,8.730166026,0.637333137,1
723,osvi,5,S,19.63,8.730166026,0.637333137,1
768,osvi,5,S,19.63,8.730166026,0.637333137,1
NA,quru,55.4,C,2410.51,169.256,0.990190786,1
NA,quru,47.1,C,1742.33,142.364,0.982646909,1
NA,quru,37.1,D,1081.03,109.964,0.968755191,1
NA,quru,35,D,962.11,103.16,0.96481002,1
777,quru,5.2,S,21.24,6.608,0.441872527,1
52,tiam,46.6,D,1705.54,748.4313811,5.845562373,0.643869932
NA,tiam,42.8,C,1438.72,609.4480645,5.152979401,0.690375542
30,tiam,40.1,C,1262.93,520.7072923,4.679345324,0.729565212
NA,tiam,39.9,C,1250.36,514.4575475,4.644928169,0.732703792
2506,tiam,38.5,C,1164.16,471.9409493,4.40613415,0.755736197
NA,tiam,38,C,1134.11,457.2749236,4.322007013,0.764414959
48,tiam,37.9,C,1128.15,454.3742298,4.305216974,0.76618476
2505,tiam,36.5,C,1046.35,414.8941083,4.072594638,0.79209841
NA,tiam,36.5,C,1046.35,414.8941083,4.072594638,0.79209841
NA,tiam,35.7,C,1000.98,393.2726476,3.941749873,0.803824857
76,tiam,35.1,C,967.62,377.4997656,3.844480553,0.809143729
NA,tiam,35,C,962.11,374.9076714,3.828406667,0.810047589
755,tiam,34.9,C,956.62,372.3260356,3.812305825,0.810960105
29,tiam,34.8,C,951.15,369.7548456,3.796177679,0.811881421
760,tiam,34.8,C,951.15,369.7548456,3.796177679,0.811881421
75,tiam,34.7,C,945.69,367.1940892,3.780139165,0.812805207
802,tiam,34.6,C,940.25,364.6437537,3.764073231,0.813737948
99,tiam,34,C,907.92,349.5598825,3.668394861,0.819454161
54,tiam,32.9,C,850.12,322.8702973,3.495119274,0.830561826
41,tiam,32.3,C,819.4,308.8332782,3.401722768,0.836993601
42,tiam,32.3,C,819.4,308.8332782,3.401722768,0.836993601
NA,tiam,32.2,C,814.33,306.5292553,3.386301334,0.838088132
NA,tiam,32.1,C,809.28,304.235335,3.370849965,0.839194165
1,tiam,31.6,C,784.27,292.9168159,3.293893163,0.844849108
NA,tiam,31.3,C,769.45,286.246098,3.248036084,0.848339521
59,tiam,30.5,C,730.62,268.8958577,3.126820412,0.858032039
2917,tiam,30.4,C,725.83,266.7716681,3.111868267,0.85927735
NA,tiam,30.4,C,725.83,266.7716681,3.111868267,0.85927735
NA,tiam,30.1,C,711.58,260.4582312,3.066818445,0.86309785
NA,tiam,30,C,706.86,258.3734178,3.051869037,0.864389264
809,tiam,30,C,706.86,258.3734178,3.051869037,0.864389264
40,tiam,29.9,C,702.15,256.2984146,3.037020219,0.865684089
818,tiam,29.6,C,688.13,250.1321305,2.992410502,0.869646513
803,tiam,29.2,C,669.66,242.0469342,2.93322747,0.875078841
781,tiam,28.8,C,651.44,234.1169502,2.874455991,0.880682219
38,tiam,28.4,C,633.47,226.3412923,2.816098996,0.886464224
NA,tiam,25.9,C,526.85,181.1836191,2.460523402,0.927242226
60,tiam,25.7,C,518.75,177.8232293,2.432684931,0.930905858
NA,tiam,25.3,C,502.73,171.2127325,2.377448574,0.938413252
NA,tiam,23.7,I,441.15,146.2235272,2.160929286,0.971288201
804,tiam,23.5,C,433.74,143.2612999,2.134267055,0.975765963
66,tiam,22.5,C,397.61,128.9795274,2.00295683,0.99943382
789,tiam,21.4,C,359.68,114.2744823,1.861727071,1
788,tiam,20.8,C,339.79,106.689813,1.786164811,1
2507,tiam,7.5,S,44.18,9.083912685,0.407629435,1
2508,tiam,7.5,S,44.18,9.083912685,0.407629435,1
132,uk,65.9,D,3410.83,1824.509691,10.4790885,0.486672867
720,uk,50.9,C,2034.82,1367.966332,10.8806385,0.490029856
748,uk,42.1,C,1392.05,718.4863677,6.407522606,0.618278408
741,uk,41.4,C,1346.14,693.9773563,6.292016372,0.624288806
742,uk,37.5,C,1104.47,565.456653,5.651396179,0.661652271
2901,uk,36,C,1017.88,519.6378421,5.40652794,0.678037038
736,uk,35.9,C,1012.23,516.6543646,5.390272402,0.679172279
2995,uk,34.9,C,956.62,487.3076484,5.227607133,0.690878412
708,uk,33.1,C,860.49,436.7154345,4.935709335,0.713603606
