TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2
7/27/16 9:35,209.3993,09:35,209,9,40,85811,0.2375879,0.2232428
7/27/16 9:40,209.4028,09:40,209,9,45,85812,0.2381442,0.2232526
7/27/16 9:45,209.4063,09:45,209,9,50,85813,0.2385759,0.2236345
7/27/16 9:50,209.4097,09:50,209,9,55,85814,0.2391987,0.2246881
7/27/16 9:55,209.4132,09:55,209,9,0,85815,0.2397155,0.2251112
7/27/16 10:00,209.4167,10:00,209,10,5,85816,0.2401616,0.225331
7/27/16 10:05,209.4201,10:05,209,10,10,85817,0.2405698,0.2264514
7/27/16 10:10,209.4236,10:10,209,10,15,85818,0.2413084,0.2274717
7/27/16 10:15,209.4271,10:15,209,10,20,85819,0.2419156,0.2277586
7/27/16 10:20,209.4306,10:20,209,10,25,85820,0.2423855,0.2285764
7/27/16 10:25,209.4340,10:25,209,10,30,85821,0.2429155,0.2292721
7/27/16 10:30,209.4375,10:30,209,10,35,85822,0.243445,0.2299176
7/27/16 10:35,209.4410,10:35,209,10,40,85823,0.2437367,0.2307449
7/27/16 10:40,209.4444,10:40,209,10,45,85824,0.2441844,0.2315128
7/27/16 10:45,209.4479,10:45,209,10,50,85825,0.2447915,0.232291
7/27/16 10:50,209.4514,10:50,209,10,55,85826,0.2451785,0.2328658
7/27/16 10:55,209.4549,10:55,209,10,0,85827,0.2454597,0.2337267
7/27/16 11:00,209.4583,11:00,209,11,5,85828,0.2458008,0.2341452
7/27/16 11:05,209.4618,11:05,209,11,10,85829,0.2462022,0.2348834
7/27/16 11:10,209.4653,11:10,209,11,15,85830,0.2464007,0.2352145
7/27/16 11:15,209.4688,11:15,209,11,20,85831,0.2467083,0.2354172
7/27/16 11:20,209.4722,11:20,209,11,25,85832,0.2468991,0.2356523
7/27/16 11:25,209.4757,11:25,209,11,30,85833,0.2472908,0.2359667
7/27/16 11:30,209.4792,11:30,209,11,35,85834,0.2476438,0.2366234
7/27/16 11:35,209.4826,11:35,209,11,40,85835,0.248064,0.2370822
7/27/16 11:40,209.4861,11:40,209,11,45,85836,0.2483634,0.2375141
7/27/16 11:45,209.4896,11:45,209,11,50,85837,0.2487426,0.2378161
7/27/16 11:50,209.4931,11:50,209,11,55,85838,0.2492619,0.2380207
7/27/16 11:55,209.4965,11:55,209,11,0,85839,0.2496534,0.2382024
7/27/16 12:00,209.5000,12:00,209,12,5,85840,0.2500786,0.2377
7/27/16 12:05,209.5035,12:05,209,12,10,85841,0.2504074,0.2376203
7/27/16 12:10,209.5069,12:10,209,12,15,85842,0.2507445,0.2371182
7/27/16 12:15,209.5104,12:15,209,12,20,85843,0.2508658,0.2360083
7/27/16 12:20,209.5139,12:20,209,12,25,85844,0.2511251,0.235986
7/27/16 12:25,209.5174,12:25,209,12,30,85845,0.2513891,0.2359961
7/27/16 12:30,209.5208,12:30,209,12,35,85846,0.2514493,0.2362386
7/27/16 12:35,209.5243,12:35,209,12,40,85847,0.2519784,0.2370162
7/27/16 12:40,209.5278,12:40,209,12,45,85848,0.2523919,0.2377996
7/27/16 12:45,209.5313,12:45,209,12,50,85849,0.2527113,0.2380749
7/27/16 12:50,209.5347,12:50,209,12,55,85850,0.2529624,0.2387181
7/27/16 12:55,209.5382,12:55,209,12,0,85851,0.2531107,0.2384138
7/27/16 13:00,209.5417,13:00,209,13,5,85852,0.2532808,0.2387661
7/27/16 13:05,209.5451,13:05,209,13,10,85853,0.2533642,0.2389268
7/27/16 13:10,209.5486,13:10,209,13,15,85854,0.2529499,0.2382088
7/27/16 13:15,209.5521,13:15,209,13,20,85855,0.2523482,0.2368894
7/27/16 13:20,209.5556,13:20,209,13,25,85856,0.2513096,0.2347466
7/27/16 13:25,209.5590,13:25,209,13,30,85857,0.2499447,0.2325482
7/27/16 13:30,209.5625,13:30,209,13,35,85858,0.2488611,0.2311666
7/27/16 13:35,209.5660,13:35,209,13,40,85859,0.2480326,0.2315858
7/27/16 13:40,209.5694,13:40,209,13,45,85860,0.2474841,0.2328262
7/27/16 13:45,209.5729,13:45,209,13,50,85861,0.2469736,0.2335359
7/27/16 13:50,209.5764,13:50,209,13,55,85862,0.2463715,0.2334749
7/27/16 13:55,209.5799,13:55,209,13,0,85863,0.2456809,0.2329003
7/27/16 14:00,209.5833,14:00,209,14,5,85864,0.2451517,0.2331825
7/27/16 14:05,209.5868,14:05,209,14,10,85865,0.2447983,0.2337677
7/27/16 14:10,209.5903,14:10,209,14,15,85866,0.2442008,0.2346112
7/27/16 14:15,209.5938,14:15,209,14,20,85867,0.2442329,0.2353997
7/27/16 14:20,209.5972,14:20,209,14,25,85868,0.2443985,0.2363603
7/27/16 14:25,209.6007,14:25,209,14,30,85869,0.2439343,0.2366856
7/27/16 14:30,209.6042,14:30,209,14,35,85870,0.2437576,0.2369726
7/27/16 14:35,209.6076,14:35,209,14,40,85871,0.2439845,0.2374369
7/27/16 14:40,209.6111,14:40,209,14,45,85872,0.2442334,0.2373159
7/27/16 14:45,209.6146,14:45,209,14,50,85873,0.2442394,0.2364992
7/27/16 14:50,209.6181,14:50,209,14,55,85874,0.2445039,0.2366368
7/27/16 14:55,209.6215,14:55,209,14,0,85875,0.2450393,0.2371336
7/27/16 15:00,209.6250,15:00,209,15,5,85876,0.2452693,0.2371704
7/27/16 15:05,209.6285,15:05,209,15,10,85877,0.2454953,0.2376062
7/27/16 15:10,209.6319,15:10,209,15,15,85878,0.2460853,0.2385772
7/27/16 15:15,209.6354,15:15,209,15,20,85879,0.2468121,0.2394144
7/27/16 15:20,209.6389,15:20,209,15,25,85880,0.2471039,0.2400927
7/27/16 15:25,209.6424,15:25,209,15,30,85881,0.2475523,0.2407288
7/27/16 15:30,209.6458,15:30,209,15,35,85882,0.2479648,0.2412131
7/27/16 15:35,209.6493,15:35,209,15,40,85883,0.2483898,0.241362
7/27/16 15:40,209.6528,15:40,209,15,45,85884,0.2488423,0.2419194
7/27/16 15:45,209.6563,15:45,209,15,50,85885,0.2493613,0.2424164
7/27/16 15:50,209.6597,15:50,209,15,55,85886,0.2497532,0.2430401
7/27/16 15:55,209.6632,15:55,209,15,0,85887,0.2501456,0.2433773
7/27/16 16:00,209.6667,16:00,209,16,5,85888,0.2505923,0.2436419
7/27/16 16:05,209.6701,16:05,209,16,10,85889,0.2507511,0.2439884
7/27/16 16:10,209.6736,16:10,209,16,15,85890,0.2510381,0.2440214
7/27/16 16:15,209.6771,16:15,209,16,20,85891,0.2514312,0.2448396
7/27/16 16:20,209.6806,16:20,209,16,25,85892,0.2518502,0.2453745
7/27/16 16:25,209.6840,16:25,209,16,30,85893,0.2521986,0.2455738
7/27/16 16:30,209.6875,16:30,209,16,35,85894,0.2524754,0.246088
7/27/16 16:35,209.6910,16:35,209,16,40,85895,0.2528508,0.246491
7/27/16 16:40,209.6944,16:40,209,16,45,85896,0.2532578,0.2467711
7/27/16 16:45,209.6979,16:45,209,16,50,85897,0.2535387,0.2471955
7/27/16 16:50,209.7014,16:50,209,16,55,85898,0.2538643,0.2475157
7/27/16 16:55,209.7049,16:55,209,16,0,85899,0.2541972,0.2479036
7/27/16 17:00,209.7083,17:00,209,17,5,85900,0.2544886,0.2480848
7/27/16 17:05,209.7118,17:05,209,17,10,85901,0.2548203,0.2482839
7/27/16 17:10,209.7153,17:10,209,17,15,85902,0.2551287,0.2486586
7/27/16 17:15,209.7188,17:15,209,17,20,85903,0.2554533,0.2489004
7/27/16 17:20,209.7222,17:20,209,17,25,85904,0.2556749,0.2490998
7/27/16 17:25,209.7257,17:25,209,17,30,85905,0.2556638,0.2486692
7/27/16 17:30,209.7292,17:30,209,17,35,85906,0.2556801,0.2480672
7/27/16 17:35,209.7326,17:35,209,17,40,85907,0.2558573,0.2493485
7/27/16 17:40,209.7361,17:40,209,17,45,85908,0.2559849,0.2500558
7/27/16 17:45,209.7396,17:45,209,17,50,85909,0.2560915,0.250466
7/27/16 17:50,209.7431,17:50,209,17,55,85910,0.2563833,0.2508903
7/27/16 17:55,209.7465,17:55,209,17,0,85911,0.2567913,0.2511161
7/27/16 18:00,209.7500,18:00,209,18,5,85912,0.2572929,0.2516398
7/27/16 18:05,209.7535,18:05,209,18,10,85913,0.2575185,0.2521415
7/27/16 18:10,209.7569,18:10,209,18,15,85914,0.2574588,0.2522143
7/27/16 18:15,209.7604,18:15,209,18,20,85915,0.2577128,0.2525179
7/27/16 18:20,209.7639,18:20,209,18,25,85916,0.2578191,0.2530713
7/27/16 18:25,209.7674,18:25,209,18,30,85917,0.2578524,0.2533807
7/27/16 18:30,209.7708,18:30,209,18,35,85918,0.2579342,0.2534073
7/27/16 18:35,209.7743,18:35,209,18,40,85919,0.2579781,0.2534953
7/27/16 18:40,209.7778,18:40,209,18,45,85920,0.2579461,0.253629
7/27/16 18:45,209.7813,18:45,209,18,50,85921,0.2577976,0.2536903
7/27/16 18:50,209.7847,18:50,209,18,55,85922,0.2577697,0.2536513
7/27/16 18:55,209.7882,18:55,209,18,0,85923,0.2576641,0.2538548
7/27/16 19:00,209.7917,19:00,209,19,5,85924,0.2574706,0.2539485
7/27/16 19:05,209.7951,19:05,209,19,10,85925,0.2573875,0.2540641
7/27/16 19:10,209.7986,19:10,209,19,15,85926,0.2573382,0.2540424
7/27/16 19:15,209.8021,19:15,209,19,20,85927,0.2571239,0.2540103
7/27/16 19:20,209.8056,19:20,209,19,25,85928,0.2567835,0.2541557
7/27/16 19:25,209.8090,19:25,209,19,30,85929,0.2555796,0.2541332
7/27/16 19:30,209.8125,19:30,209,19,35,85930,0.2541667,0.2542164
7/27/16 19:35,209.8160,19:35,209,19,40,85931,0.2532988,0.2540331
7/27/16 19:40,209.8194,19:40,209,19,45,85932,0.2515614,0.2540126
7/27/16 19:45,209.8229,19:45,209,19,50,85933,0.249769,0.2537881
7/27/16 19:50,209.8264,19:50,209,19,55,85934,0.2482451,0.25381
7/27/16 19:55,209.8299,19:55,209,19,0,85935,0.2467265,0.2519601
7/27/16 20:00,209.8333,20:00,209,20,5,85936,0.2460576,0.2513409
7/27/16 20:05,209.8368,20:05,209,20,10,85937,0.2446561,0.2494757
7/27/16 20:10,209.8403,20:10,209,20,15,85938,0.2435036,0.2475669
7/27/16 20:15,209.8438,20:15,209,20,20,85939,0.2424679,0.247006
7/27/16 20:20,209.8472,20:20,209,20,25,85940,0.2416138,0.2456937
7/27/16 20:25,209.8507,20:25,209,20,30,85941,0.2412442,0.243182
7/27/16 20:30,209.8542,20:30,209,20,35,85942,0.2407939,0.24001
7/27/16 20:35,209.8576,20:35,209,20,40,85943,0.2400778,0.2382062
7/27/16 20:40,209.8611,20:40,209,20,45,85944,0.239707,0.237322
7/27/16 20:45,209.8646,20:45,209,20,50,85945,0.2391514,0.2366504
7/27/16 20:50,209.8681,20:50,209,20,55,85946,0.2380538,0.2359227
7/27/16 20:55,209.8715,20:55,209,20,0,85947,0.2383133,0.2352437
7/27/16 21:00,209.8750,21:00,209,21,5,85948,0.2383102,0.2344675
7/27/16 21:05,209.8785,21:05,209,21,10,85949,0.2386924,0.2332818
7/27/16 21:10,209.8819,21:10,209,21,15,85950,0.238501,0.2325879
7/27/16 21:15,209.8854,21:15,209,21,20,85951,0.2384089,0.2319271
7/27/16 21:20,209.8889,21:20,209,21,25,85952,0.2388957,0.2322482
7/27/16 21:25,209.8924,21:25,209,21,30,85953,0.2391274,0.2321375
