Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
WCR,191,1530,1.427,1323.8,0.2872,0.33151,0.4304,0.33897,0.45031,0.30698,0.37445,0.41605,0.080275,NaN,0.51011,0.44764,0.4295,0.49296
WCR,191,1600,1.501,1107.1,0.28695,0.32937,0.43269,0.3288,0.4485,0.30908,0.34965,0.41835,0.080397,NaN,0.51625,0.42867,0.42744,0.47868
WCR,191,1630,1.499,947.27,0.28737,0.32549,0.4282,0.34231,0.43926,0.30069,0.33298,0.4117,0.080681,NaN,0.51664,0.4138,0.42407,0.44592
WCR,191,1700,1.46,758.48,0.28347,0.31308,0.40045,0.31173,0.43007,0.28807,0.32316,0.34803,0.079639,NaN,0.46163,0.39757,0.41318,0.42213
WCR,191,1730,1.47,569.77,0.26537,0.2931,0.3841,0.3177,0.40408,0.27476,0.29866,0.27915,0.078531,NaN,0.40736,0.37365,0.3952,0.38343
WCR,191,1800,1.215,388.01,0.25927,0.28185,0.35171,0.29258,0.3903,0.25092,0.27746,0.2396,0.076171,NaN,0.36237,0.34116,0.36995,0.35887
WCR,191,1830,1.11,218.06,0.23974,0.25528,0.3364,0.27002,0.35692,0.22551,0.27197,0.21042,0.075739,NaN,0.36605,0.29186,0.33574,0.35431
WCR,191,1900,0.979,64.771,0.21069,0.22694,0.20836,0.23299,0.29547,0.19559,0.25544,0.15663,0.071727,NaN,0.25061,0.2408,0.28025,0.26234
WCR,191,1930,0.861,0,0.17854,0.19389,0.13562,0.17235,0.22719,0.16204,0.19767,0.12089,0.065629,NaN,0.20045,0.18239,0.22495,0.17538
WCR,191,2000,0.776,0,0.13797,0.15218,0.10536,0.11984,0.1616,0.11902,0.10131,0.085176,0.05903,NaN,0.13909,0.11151,0.16102,0.1249
WCR,191,2030,0.672,0,0.091554,0.10171,0.059924,0.073385,0.10051,0.070486,0.046841,0.058301,0.050292,NaN,0.09783,0.064213,0.10016,0.078055
WCR,191,2100,0.596,0,0.059914,0.067196,0.02791,0.042853,0.061938,0.038806,0.022202,0.036603,0.041809,NaN,0.070852,0.036485,0.063827,0.047307
WCR,191,2130,0.616,0,0.036964,0.04492,0.0074646,0.024511,0.039197,0.017529,0.0057794,0.023101,0.036102,NaN,0.049668,0.015772,0.038753,0.021465
WCR,191,2200,0.613,0,0.023497,0.029622,0,0.015463,0.02581,0.0084507,0,0.008255,0.031084,NaN,0.03233,0.003722,0.022813,0.0053611
WCR,191,2230,0.623,0,0.014589,0.017287,0,0.0084423,0.016335,0.0032967,0,0,0.026947,NaN,0.017666,0,0.0099031,0
WCR,191,2300,0.527,0,0.0075242,0.009226,0,0.0045977,0.0094687,0,0,0,0.023798,NaN,0.0070101,0,0.0015456,0
WCR,191,2330,0.475,0,0.0041023,0.0035599,0,0.0014258,0.0067273,0.0022316,0,0,0.022278,NaN,0,0.01227,0,0
WCR,192,0,0.421,0,8.16E-05,0.0012086,0,0,0.0030942,0,0,0,0.021612,NaN,0,0.016741,0,0
WCR,192,30,0.321,0,0.00047722,0.00084449,0,0,0.0018746,0.003352,0,0,0.021211,NaN,0,0.032621,0,0
WCR,192,100,0.293,0,0.0012481,0.0022346,0,0,0.001837,0.0045487,0,0,0.021472,NaN,0,0.047569,0,0
WCR,192,130,0.246,0,0.0022982,0.00453,0,0,0.0028337,0.0052389,0,0,0.021641,NaN,0,0.062713,0.0022946,0
WCR,192,200,0.228,0,0.0031837,0.0058526,0,0,0.0031543,0.0045498,0,0,0.022413,NaN,0,0.070723,0.0038004,0
WCR,192,230,0.254,0,0.0037209,0.0049615,0,0.00026562,0.0032228,0.0043254,0,0,0.022981,NaN,0,0.063191,0.004183,0
WCR,192,300,0.241,0,0.0028586,0.0034946,0,4.92E-05,0.002374,0.0016171,0,0,0.023849,NaN,0,0.049546,0.0029618,0.0010767
WCR,192,330,0.228,0,0.0018712,0.0019558,0,0.00026821,0.0012889,0.0010754,0,0,0.024151,NaN,0,0.046422,0.0010431,0.0020582
WCR,192,400,0.182,0,0.0015815,0.0010869,0,0.00034629,0.0012708,0,0,0,0.025284,NaN,0,0.04825,7.53E-05,0.0012555
WCR,192,430,0.164,41.111,0.001823,0.00016531,0,0.00038383,0.00022028,0,0,0,0.026787,NaN,0.0010308,0.04662,0.00038393,0
WCR,192,500,0.175,100.82,0.00055325,0.00011499,0,0.00038039,0,0,0,0,0.027768,NaN,0.0010127,0.038483,0,1.86E-06
WCR,192,530,NaN,0,0,0,0,0.0012287,0,0,0,0,0.028989,NaN,0.0016831,0.029696,0,0.00054892
WCR,192,600,0.199,409.33,0,0,0,0.0010568,0,0,0,5.09E-05,0.031112,NaN,0.0020071,0.031646,0,0.00017017
WCR,192,630,NaN,0,0,0,0,0,0,0,0,0,0.032144,NaN,0,0.040911,0,0
WCR,192,700,0.323,734.63,0.0025048,0.0062495,0.0036244,0,0.0021933,0,0.0024475,0,0.034344,NaN,0.0020671,0.053539,0.0044694,0
WCR,192,730,0.347,770.04,0.010249,0.025758,0.01796,0.0028472,0.0089564,0.0016883,0.012556,0.0012234,0.033665,NaN,0.0040518,0.058094,0.014096,0.029506
WCR,192,800,0.428,1043.8,0.033282,0.073798,0.07353,0.015324,0.029615,0.034932,0.041765,0.007229,0.0344,NaN,0.010208,0.074947,0.03786,0.12986
WCR,192,830,0.544,1137.1,0.074749,0.13313,0.18592,0.046151,0.076946,0.10106,0.10423,0.025339,0.041423,NaN,0.027043,0.10336,0.091084,0.25349
WCR,192,900,0.611,1319.6,0.14502,0.18307,0.31441,0.10366,0.16916,0.16243,0.20781,0.088393,0.049334,NaN,0.088016,0.16921,0.17832,0.3634
WCR,192,930,0.622,911.42,0.20394,0.25356,0.40863,0.18547,0.27596,0.20873,0.30527,0.21806,0.061215,NaN,0.23249,0.28107,0.2774,0.44591
WCR,192,1000,0.817,1384.5,0.23957,0.29184,0.39169,0.22547,0.33585,0.2361,0.33366,0.32432,0.068866,NaN,0.35639,0.3388,0.32214,0.44018
WCR,192,1030,0.888,1505.3,0.26479,0.31083,0.43045,0.26677,0.37573,0.2542,0.37711,0.40934,0.072413,NaN,0.46826,0.38685,0.35467,0.48423
WCR,192,1100,1.039,1823.8,0.24604,0.28816,0.38323,0.24453,0.35334,0.2434,0.33531,0.34877,0.071356,NaN,0.42463,0.35639,0.33501,0.40863
WCR,192,1130,1.219,1746.6,0.27366,0.31591,0.45989,0.29059,0.37977,0.26939,0.37695,0.42185,0.076439,NaN,0.49948,0.40191,0.3633,0.49043
WCR,192,1200,1.383,2015.3,0.28369,0.32615,0.44622,0.30145,0.42735,0.29961,0.37383,0.43455,0.074449,NaN,0.52182,0.42906,0.39441,0.4827
WCR,192,1230,1.407,1613.6,0.29849,0.34522,0.47334,0.32733,0.45627,0.30725,0.38373,0.52107,0.076809,NaN,NaN,0.43519,0.41328,0.53287
WCR,192,1300,1.305,1470,0.29806,0.34532,0.44379,0.33305,0.45442,0.30904,0.3724,0.55927,0.076475,NaN,NaN,0.4305,0.41566,0.50843
WCR,192,1330,1.395,1804.7,0.30534,0.35817,0.45843,0.34806,0.49124,0.32701,0.39222,0.53616,0.075584,NaN,NaN,0.45145,0.45521,0.51152
