Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4
2015,131,17,25,5/11/15 17:25,102,0.5290985,0.6587524,0.5297912,0.5759308,0.4306366,0.4597809,0.5382568,0.5034363
2015,131,17,30,5/11/15 17:30,103,0.2388489,0.3617157,0.2713165,0.3228699,0.40336,0.4474182,0.5202209,0.4876465
2015,131,17,35,5/11/15 17:35,104,0.2152741,0.2955322,0.2301483,0.2814575,0.3569092,0.4062378,0.4872162,0.4591247
2015,131,17,40,5/11/15 17:40,105,0.1954346,0.2905456,0.2340515,0.2954865,0.3322571,0.3850159,0.4662628,0.4364563
2015,131,17,45,5/11/15 17:45,106,0.2700867,0.3342651,0.2956818,0.3587921,0.3075104,0.3697754,0.4547058,0.4230591
2015,131,17,50,5/11/15 17:50,107,0.4473236,0.5408173,0.4919434,0.5561249,0.3147003,0.3854035,0.456488,0.4272125
2015,131,17,55,5/11/15 17:55,108,0.4869995,0.6085602,0.5674835,0.6376068,0.3493591,0.444455,0.4933929,0.4726807
2015,131,18,0,5/11/15 18:00,109,0.5260834,0.6277618,0.5810486,0.6488861,0.382608,0.5022339,0.524527,0.5085724
2015,131,18,5,5/11/15 18:05,110,0.4414185,0.5255127,0.4768555,0.526593,0.3881775,0.493042,0.5022736,0.4876312
2015,131,18,10,5/11/15 18:10,111,0.5079437,0.6079499,0.538443,0.601065,0.3882355,0.4855713,0.5156403,0.4958588
2015,131,18,15,5/11/15 18:15,112,0.5367767,0.6423523,0.5615937,0.6227173,0.4169983,0.5090545,0.5507385,0.5262085
2015,131,18,20,5/11/15 18:20,113,0.3674744,0.4622955,0.3915009,0.4563873,0.429895,0.5096863,0.5533478,0.5298615
2015,131,18,25,5/11/15 18:25,114,0.4323792,0.4897797,0.448056,0.5270691,0.4225708,0.4999939,0.5552643,0.5342835
2015,131,18,30,5/11/15 18:30,115,0.5085571,0.5962585,0.5150146,0.6051788,0.4387543,0.5102326,0.5747315,0.5500671
2015,131,18,35,5/11/15 18:35,116,0.4330597,0.5059448,0.4807281,0.54888,0.4436798,0.5098877,0.5693756,0.545636
2015,131,18,40,5/11/15 18:40,117,0.3652588,0.4308349,0.4103668,0.4472076,0.4301361,0.4752441,0.5425079,0.5055847
2015,131,18,45,5/11/15 18:45,118,0.3223541,0.4281677,0.4192108,0.4478638,0.398053,0.4277283,0.5048828,0.4537079
2015,131,18,50,5/11/15 18:50,119,0.07200317,0.1567505,0.1251495,0.1498871,0.3659729,0.3703278,0.4605438,0.3783752
2015,131,18,55,5/11/15 18:55,120,-0.2435822,-0.1707428,-0.2039764,-0.1738739,0.3115234,0.2647034,0.3901337,0.2740723
2015,131,19,0,5/11/15 19:00,121,-0.5985962,-0.5694153,-0.5852081,-0.5749725,0.2452698,0.1227356,0.3125336,0.145813
2015,131,19,5,5/11/15 19:05,122,-0.8233063,-0.8236297,-0.8733612,-0.7503387,0.1616028,-0.04404297,0.2209625,0.004498291
2015,131,19,10,5/11/15 19:10,123,-0.8718628,-0.9077301,-0.9022766,-0.7957611,0.07476501,-0.2022675,0.1285828,-0.1215271
2015,131,19,15,5/11/15 19:15,124,-0.9803467,-0.9891937,-0.980545,-0.8772827,0.01921692,-0.3244599,0.07198486,-0.1768158
2015,131,19,20,5/11/15 19:20,125,-1.079779,-1.089511,-1.069571,-0.9761993,-0.05289612,-0.4427734,-0.001712036,-0.2558014
2015,131,19,25,5/11/15 19:25,126,-1.086206,-1.125742,-1.067487,-0.8954773,-0.08403015,-0.5271088,-0.03758545,-0.263855
2015,131,19,30,5/11/15 19:30,127,-1.15202,-1.17066,-1.131235,-0.9768341,-0.1145447,-0.5147552,-0.07008667,-0.2042664
2015,131,19,35,5/11/15 19:35,128,-1.155417,-1.138412,-1.139331,-1.030887,-0.1888855,-0.5162689,-0.1427124,-0.227417
2015,131,19,40,5/11/15 19:40,129,-1.195425,-1.162936,-1.147894,-1.067657,-0.2648468,-0.5203277,-0.2198578,-0.2751434
2015,131,19,45,5/11/15 19:45,130,-1.148853,-1.142105,-1.081924,-1.032336,-0.2987335,-0.5745453,-0.2537414,-0.3139099
2015,131,19,50,5/11/15 19:50,131,-1.149429,-1.098111,-1.100067,-1.062167,-0.3224274,-0.6111878,-0.2782227,-0.3443359
2015,131,19,55,5/11/15 19:55,132,-1.170099,-1.128665,-1.07634,-1.069376,-0.304953,-0.6618255,-0.2554657,-0.3442688
2015,131,20,0,5/11/15 20:00,133,-1.237357,-1.205978,-1.169119,-1.151013,-0.2874023,-0.7043304,-0.2368622,-0.3578613
2015,131,20,5,5/11/15 20:05,134,-1.304761,-1.269568,-1.228937,-1.218356,-0.2889343,-0.75737,-0.2452576,-0.3901489
2015,131,20,10,5/11/15 20:10,135,-1.311661,-1.22829,-1.228421,-1.20784,-0.3065033,-0.7881592,-0.2706116,-0.4375488
2015,131,20,15,5/11/15 20:15,136,-1.271362,-1.287317,-1.29195,-1.191193,-0.3318207,-0.7710999,-0.2923645,-0.505365
2015,131,20,20,5/11/15 20:20,137,-1.355399,-1.33786,-1.39902,-1.286285,-0.4217102,-0.8127228,-0.3847595,-0.5981781
2015,131,20,25,5/11/15 20:25,138,-1.377451,-1.329883,-1.372098,-1.292908,-0.5129944,-0.8813416,-0.4761627,-0.6939728
2015,131,20,30,5/11/15 20:30,139,-1.338187,-1.311246,-1.310233,-1.227539,-0.5798218,-0.929184,-0.538504,-0.7447022
2015,131,20,35,5/11/15 20:35,140,-1.287152,-1.250586,-1.261874,-1.199451,-0.5845398,-0.9422363,-0.5333252,-0.719992
2015,131,20,40,5/11/15 20:40,141,-1.341547,-1.262915,-1.301111,-1.237131,-0.6129059,-0.9552887,-0.5633972,-0.7494171
2015,131,20,45,5/11/15 20:45,142,-1.360165,-1.297723,-1.310492,-1.260855,-0.6487366,-0.9867951,-0.6042511,-0.7898804
2015,131,20,50,5/11/15 20:50,143,-1.385388,-1.310938,-1.342795,-1.309418,-0.6828674,-1.017902,-0.639563,-0.8469971
2015,131,20,55,5/11/15 20:55,144,-1.439841,-1.347464,-1.390314,-1.341415,-0.7228454,-1.056586,-0.6770355,-0.9141906
2015,131,21,0,5/11/15 21:00,145,-1.511615,-1.401141,-1.457632,-1.375223,-0.7725555,-1.107648,-0.7196075,-0.974353
2015,131,21,5,5/11/15 21:05,146,-1.484009,-1.39762,-1.448175,-1.369284,-0.8154694,-1.162744,-0.7612,-1.012659
2015,131,21,10,5/11/15 21:10,147,-1.457623,-1.395346,-1.400766,-1.298999,-0.8124359,-1.176105,-0.7626587,-1.012665
