"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
37000,1438000,2086,0,0,0,0,0,0,0,0,0,0,111.76,0,0,0,0,0,0,0,398.78,0,0,817.88,0,0,0,0,0,0,0
45000,1438000,2087,0,0,0,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,510.54,0,0,944.88,0,0,0,0,0,0,0
53000,1438000,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523.24,0,0,1252.22,0,0,0,0,0,0,0
61000,1438000,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,0,0,0,0,0,0,0
69000,1438000,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.96,0,0,0,0,0,0,0
77000,1438000,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,0,0,205.74,0,0,35.56,0,0,0,0
85000,1438000,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,0,0,0,0,0,0,0
93000,1438000,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,124.46,0,0,0,0
101000,1438000,2094,0,22.86,0,0,30.48,0,0,48.26,0,0,48.26,205.74,0,0,0,0,0,0,55.88,0,218.44,528.32,251.46,0,949.96,0,0,0,0
109000,1438000,2095,0,25.4,0,0,10.16,0,0,71.12,0,0,22.86,25.4,0,0,0,0,0,0,30.48,0,68.58,101.6,256.54,0,845.82,0,0,0,0
117000,1438000,2096,0,121.92,0,0,71.12,0,0,73.66,0,0,60.96,45.72,0,0,0,0,0,0,0,0,99.06,632.46,88.9,0,546.1,0,0,0,30.48
125000,1438000,2097,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.42,0,0,0,0,0,0,0
133000,1438000,2098,0,68.58,0,0,22.86,0,0,63.5,0,0,30.48,15.24,0,0,0,0,10.16,0,25.4,0,0,121.92,15.24,0,66.04,0,0,0,15.24
141000,1438000,2099,0,22.86,0,0,60.96,0,0,185.42,0,0,5.08,0,0,0,0,0,0,0,0,0,0,886.46,147.32,0,381,0,0,0,45.72
149000,1438000,2100,0,0,0,0,104.14,0,0,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,360.68,68.58,0,48.26,0,0,0,0
-19000,1430000,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.64,0,0,0,0,0,0,0,0,0,0
-11000,1430000,2376,0,0,15.24,0,0,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1430000,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1430000,2378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1430000,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6,0,0,0,0,0,0,0
21000,1430000,2380,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,66.04,0,0,116.84,0,0,0,0,0,0,25.4
29000,1430000,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,0,0,236.22,0,0,0,0,0,0,0
37000,1430000,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.42,0,0,340.36,0,0,0,0,0,0,0
45000,1430000,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.62,0,0,299.72,0,0,0,0,0,0,0
53000,1430000,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.24,0,0,287.02,0,0,0,0,0,0,0
61000,1430000,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,0,0,248.92,0,0,22.86,0,0,0,0
69000,1430000,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,0,0,299.72,0,0,0,0,0,0,0
77000,1430000,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,0,0,439.42,20.32,0,76.2,0,0,0,0
85000,1430000,2388,0,20.32,0,0,7.62,0,0,0,0,0,116.84,0,0,0,0,0,22.86,0,40.64,0,0,307.34,22.86,0,210.82,0,0,0,0
93000,1430000,2389,0,17.78,0,0,20.32,0,0,0,0,0,15.24,0,0,0,0,0,0,0,0,0,20.32,782.32,154.94,0,231.14,0,0,0,0
101000,1430000,2390,0,101.6,0,0,71.12,0,0,58.42,0,0,213.36,248.92,0,0,0,0,0,0,55.88,0,0,414.02,703.58,0,1282.7,0,0,0,0
109000,1430000,2391,0,144.78,0,0,12.7,0,0,147.32,0,0,99.06,15.24,0,0,0,0,0,0,15.24,0,0,147.32,185.42,0,896.62,0,0,0,0
117000,1430000,2392,0,86.36,0,0,15.24,0,0,15.24,0,0,78.74,0,0,0,0,0,0,0,0,0,0,307.34,53.34,0,510.54,0,0,0,0
125000,1430000,2393,10.16,66.04,0,0,231.14,0,0,25.4,0,0,53.34,76.2,0,0,0,0,0,0,0,0,73.66,670.56,439.42,0,919.48,0,0,0,0
133000,1430000,2394,0,116.84,0,0,314.96,0,0,378.46,0,0,91.44,30.48,0,0,0,0,0,0,40.64,0,137.16,967.74,508,0,548.64,0,0,0,20.32
141000,1430000,2395,0,66.04,0,0,198.12,0,0,355.6,0,0,0,124.46,0,0,0,0,0,0,0,0,0,157.48,497.84,0,1549.4,0,0,0,0
149000,1430000,2396,0,27.94,0,0,58.42,0,0,332.74,0,0,35.56,38.1,0,0,0,0,0,0,0,0,40.64,208.28,373.38,0,612.14,0,0,0,12.7
157000,1430000,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.78,0,0,25.4,0,0,0,45.72
-19000,1422000,2671,0,0,25.4,0,0,0,0,0,0,0,83.82,0,0,0,0,0,0,0,40.64,0,0,58.42,0,0,0,0,0,0,0
-11000,1422000,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
