"","x","y","tdiff"
"2018",445000,1126000,190774545.656268
"2019",453000,1126000,52283779.5724491
"2020",461000,1126000,470105059.42456
"2021",477000,1126000,-173616920.957965
"2022",485000,1126000,-174742834.38485
"2023",493000,1126000,-46051373.9216982
"2024",501000,1126000,181044436.626637
"2025",509000,1126000,101083528.748029
"2026",517000,1126000,-130440239.651545
"2027",541000,1126000,515832161.613648
"2028",549000,1126000,-186178109.185365
"2029",557000,1126000,484979835.136106
"2030",565000,1126000,789931137.275627
"2031",573000,1126000,350270392.984029
"2032",581000,1126000,488480202.975061
"2033",589000,1126000,518629534.649286
"2034",597000,1126000,65175681.8112233
"2035",605000,1126000,-214283573.286044
"2036",613000,1126000,-129204687.693395
"2037",621000,1126000,-149170987.265614
"2038",629000,1126000,147098746.020231
"2039",637000,1126000,59381536.2363427
"2040",645000,1126000,-157250533.283409
"2041",653000,1126000,52088850.7277656
"2042",661000,1126000,26559936.6830754
"2043",669000,1126000,122187987.305188
"2044",677000,1126000,117715709.750914
"2045",781000,1126000,-74288131.2630193
"2046",789000,1126000,534035649.996643
"2047",797000,1126000,-472486861.17238
"2048",805000,1126000,-173525453.353246
"2049",813000,1126000,-49394104.822644
"2050",829000,1126000,-77693499.0064895
"2051",845000,1126000,-137877381.548058
"2052",853000,1126000,-67207845.9950653
"2053",861000,1126000,-46445067.5629379
"2080",69000,1118000,-11590803.7875939
"2081",77000,1118000,-308866869.119516
"2082",85000,1118000,276036305.211811
"2083",93000,1118000,335048991.440982
"2084",101000,1118000,340631780.651199
"2085",125000,1118000,145454298.154318
"2086",141000,1118000,707563141.637319
"2087",149000,1118000,212771107.230336
"2088",165000,1118000,442442526.366659
"2089",189000,1118000,435239295.842676
"2090",197000,1118000,183161038.628972
"2091",213000,1118000,-21591918.1775514
"2092",221000,1118000,243388695.833236
"2093",229000,1118000,211245625.511054
"2094",237000,1118000,-254419775.917951
"2095",245000,1118000,-394306023.412746
"2096",253000,1118000,-391439891.3189
"2097",261000,1118000,-353789453.076217
"2098",269000,1118000,269362442.242156
"2099",277000,1118000,114217286.534305
"2100",285000,1118000,62066781.1129601
"2101",293000,1118000,82332506.333999
"2102",301000,1118000,145608280.683123
"2103",309000,1118000,-215373453.793148
"2104",317000,1118000,-43370267.5979944
"2105",325000,1118000,-104356219.3638
"2106",333000,1118000,-396019346.104748
"2107",341000,1118000,-226309519.992487
"2108",349000,1118000,-1349146.46591479
"2109",357000,1118000,317947974.804746
"2110",365000,1118000,-212828387.997863
"2111",373000,1118000,-123366271.581346
"2112",381000,1118000,255259732.762314
"2113",389000,1118000,434926065.659603
"2114",397000,1118000,815932444.493073
"2115",405000,1118000,-29335202.9585665
"2116",413000,1118000,602789027.592347
"2117",421000,1118000,182897632.787489
"2118",429000,1118000,107651690.878083
"2119",437000,1118000,-257908451.951585
"2120",445000,1118000,213150466.377825
"2121",453000,1118000,616974765.069823
"2122",461000,1118000,-271393265.771484
"2123",469000,1118000,-261903665.663101
"2124",477000,1118000,288190725.304662
"2125",485000,1118000,-456981.959224761
"2126",493000,1118000,-178792736.564148
"2127",501000,1118000,-166875492.67511
"2128",509000,1118000,587788038.792115
"2129",517000,1118000,-232519131.880314
"2130",525000,1118000,-103797702.363757
"2131",533000,1118000,767404674.279273
"2132",541000,1118000,16810066.242491
"2133",549000,1118000,47570450.3577621
"2134",557000,1118000,583417871.180426
"2135",565000,1118000,-105704854.37624
"2136",573000,1118000,391434043.453391
"2137",581000,1118000,144865760.29539
"2138",589000,1118000,-358983500.315299
"2139",597000,1118000,-285974156.19381
"2140",605000,1118000,-216004626.787511
"2141",613000,1118000,31399526.1909311
"2142",629000,1118000,-142332404.682926
"2143",637000,1118000,63122556.3497617
"2144",645000,1118000,-160251914.493874
"2145",653000,1118000,205072545.361819
"2146",669000,1118000,-168283152.703448
"2147",677000,1118000,151869466.47742
"2148",773000,1118000,-312281483.683974
"2149",781000,1118000,1056597523.64867
"2150",789000,1118000,-621273591.254179
"2151",797000,1118000,886899293.922495
"2152",805000,1118000,-27694877.9353391
"2153",813000,1118000,-64138539.7867518
"2154",821000,1118000,625088188.259665
"2155",829000,1118000,1469654622.21871
"2156",837000,1118000,-34141624.0820996
"2157",853000,1118000,-222642058.387017
"2183",5000,1110000,221280329.683889
"2184",69000,1110000,52846240.5153801
"2185",109000,1110000,18179836.0879184
"2186",117000,1110000,293610652.016172
"2187",125000,1110000,552973886.761184
"2188",133000,1110000,65635495.1696474
"2189",141000,1110000,202626235.404166
"2190",157000,1110000,78245252.5518436
"2191",165000,1110000,866164749.867038
"2192",173000,1110000,-9000594.89902517
"2193",181000,1110000,-89198202.560067
"2194",189000,1110000,-42405056.1078991
"2195",197000,1110000,-125911899.935077
"2196",205000,1110000,45390102.3336531
"2197",213000,1110000,-179980780.270856
"2198",221000,1110000,38380423.1521618
"2199",229000,1110000,-276758602.424598
"2200",237000,1110000,175204541.959978
"2201",245000,1110000,-433208404.411898
"2202",253000,1110000,-399533032.273001
"2203",261000,1110000,129866124.863748
"2204",269000,1110000,-265705034.453827
"2205",277000,1110000,479824076.608822
"2206",285000,1110000,29455324.8352693
"2207",293000,1110000,574936047.532243
"2208",301000,1110000,10068349.0190906
"2209",309000,1110000,-124727676.727035
"2210",317000,1110000,265395284.874876
"2211",325000,1110000,-274913578.878316
"2212",333000,1110000,276801518.20788
"2213",341000,1110000,100443951.43654
"2214",349000,1110000,-56401621.2168114
"2215",357000,1110000,79515881.2659948
"2216",365000,1110000,34353139.3917166
"2217",373000,1110000,79886318.8819178
"2218",381000,1110000,-165334553.623314
"2219",389000,1110000,406337305.005051
"2220",397000,1110000,196915532.277996
"2221",405000,1110000,396402111.144321
"2222",413000,1110000,420088282.22602
"2223",421000,1110000,-2466144.13337129
"2224",429000,1110000,-318081.847404659
"2225",437000,1110000,40939164.0231052
"2226",445000,1110000,188236126.700219
