"","x","y","Transpiration"
"168",205000,1374000,203.268381187072
"169",213000,1374000,159.80107983291
"170",221000,1374000,211.156980773744
"171",237000,1374000,214.224645246082
"172",245000,1374000,127.059930824881
"173",253000,1374000,177.137560024361
"174",261000,1374000,149.840097795829
"175",269000,1374000,223.087423085017
"176",277000,1374000,191.39876745503
"177",285000,1374000,195.494296652905
"178",301000,1374000,140.77289638202
"179",29000,1366000,1.30107591560661
"180",85000,1366000,17.3931207589004
"181",101000,1366000,30.3134529548417
"182",109000,1366000,61.1471293105212
"183",117000,1366000,102.544080418383
"184",125000,1366000,41.766749148162
"185",165000,1366000,11.5133331027274
"186",181000,1366000,32.2718108916841
"187",189000,1366000,62.7312046608722
"188",197000,1366000,86.5673313755831
"189",205000,1366000,124.145361709378
"190",213000,1366000,241.494374050166
"191",221000,1366000,150.516265903665
"192",229000,1366000,108.306120124734
"193",237000,1366000,198.689777478515
"194",245000,1366000,142.772926518259
"195",253000,1366000,116.197192220213
"196",261000,1366000,142.979697470289
"197",269000,1366000,115.864771780877
"198",277000,1366000,222.849442448741
"199",285000,1366000,324.373623467831
"200",293000,1366000,168.140202598742
"201",301000,1366000,203.624079985062
"202",309000,1366000,33.116299179638
"203",29000,1358000,14.823006337344
"204",37000,1358000,40.1078874750973
"205",93000,1358000,35.861396167657
"206",101000,1358000,89.7477724176174
"207",109000,1358000,50.6718834085304
"208",117000,1358000,73.8049519998394
"209",125000,1358000,76.3284511364677
"210",133000,1358000,76.1338766041544
"211",165000,1358000,13.220370263944
"212",181000,1358000,152.736671469499
"213",189000,1358000,91.0767561308922
"214",197000,1358000,149.965442263264
"215",205000,1358000,167.369919280444
"216",213000,1358000,130.685130615987
"217",221000,1358000,127.181400743599
"218",229000,1358000,138.421393683199
"219",237000,1358000,146.330290355768
"220",245000,1358000,200.415307633072
"221",253000,1358000,147.759600729835
"222",261000,1358000,122.653604308558
"223",269000,1358000,83.5684574158821
"224",277000,1358000,98.3790160240044
"225",285000,1358000,75.957673047298
"226",293000,1358000,149.270566389823
"227",301000,1358000,115.357370228749
"228",309000,1358000,196.128040109703
"229",317000,1358000,153.993511777875
"230",-19000,1350000,46.5462595284652
"231",21000,1350000,0.279182938224909
"232",29000,1350000,8.26802593580825
"233",53000,1350000,26.6334165939447
"234",69000,1350000,8.58959742945057
"235",93000,1350000,17.4605209256325
"236",101000,1350000,37.4249345097494
"237",109000,1350000,37.915833526619
"238",117000,1350000,75.7494344898572
"239",125000,1350000,45.5167565656021
"240",133000,1350000,105.856908637382
"241",165000,1350000,29.8486848808863
"242",189000,1350000,119.14719436872
"243",197000,1350000,100.376892621042
"244",205000,1350000,192.568965014761
"245",213000,1350000,300.298855222652
"246",221000,1350000,152.701288275465
"247",229000,1350000,70.709056150606
"248",237000,1350000,162.99615787307
"249",245000,1350000,176.602194213424
"250",253000,1350000,135.374931399155
"251",261000,1350000,118.81156578699
"252",269000,1350000,81.063122564545
"253",277000,1350000,107.885098530106
"254",285000,1350000,155.027083123386
"255",293000,1350000,123.895974981744
"256",301000,1350000,121.508566883431
"257",309000,1350000,120.637790156552
"258",317000,1350000,239.331357106718
"259",333000,1350000,0
"260",21000,1342000,3.19807378313739
