"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
125000,1430000,2393,0.236355525429212,22.5910705334002,0,0,11.7101599118238,0,0,1.43323273940368,0,0,1.57922119605551,7.00471602258279,0,0,0,0,0,0,0,0,3.63878826433441,40.259119684097,37.8380720730287,0,78.4834085175578,0,0,0,0
133000,1430000,2394,0,13.7822781323055,0,0,18.1728113029222,0,0,20.0942474736346,0,0,1.7612451186497,0.403604098505136,0,0,0,0,0,0,0.811991562121176,0,5.16304650514414,145.720006111989,49.0364076306899,0,30.5258350540068,0,0,0,1.54664114813536
141000,1430000,2395,0,0.857849088049812,0,0,9.25751761595695,0,0,38.9138773978966,0,0,0,6.2707318776405,0,0,0,0,0,0,0,0,0,8.4215675813727,62.1705508006898,0,171.231485767608,0,0,0,0
149000,1430000,2396,0,0.0149329804832393,0,0,10.3636324032198,0,0,43.5446497481615,0,0,0.00783632554284466,16.400745075829,0,0,0,0,0,0,0,0,1.02229750092722,16.6860685900907,88.4731824901377,0,89.0026498763018,0,0,0,0.0243399820245943
157000,1430000,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305.853383926904,0,0,3.98880519274126,0,0,0,17.9155693378808
-19000,1422000,2671,0,0,4.50504810050592,0,0,0,0,0,0,0,3.90093349839673,0,0,0,0,0,0,0,6.43987789413586,0,0,14.532617874438,0,0,0,0,0,0,0
-11000,1422000,2672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1422000,2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1422000,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13000,1422000,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692933521945601,0,0,0.948881168103303,0,0,0,0,0,0,0
21000,1422000,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231295736422091,0,0,5.86672182047468,0,0,0,0,0,0,0
29000,1422000,2677,0,0,0,0,0,0,0,0,0,0,0.223578169365197,0,0,0,0,0,0,0,0.818253137120764,0,0,10.8034491552733,0,0,0,0,0,0,0
37000,1422000,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923533322825975,0,0,24.7788674210785,0,0,0,0,0,0,0
